
Time: 10.89265   Pressure: 985.93000  Temperature: 11.40000    Humidity: 59.08255  UV: 11.00000    UVI: 0.45913     Ambient Light: 5304.00000  Lux: 4080.80000 Infrared Light: 30038.00000Visible Light: 1968578219.00000 Full Spectrum (IR + vis): 1968608257.00000 CO2: 1.07003    UVB: 0.09000   O3 Gas: 0.69602    O3 Reference: 1.62205    O3 Temperature: 1.14603    
Time: 11.67908   Pressure: 986.00000  Temperature: 11.37000    Humidity: 58.86893  UV: 11.00000    UVI: 0.45913     Ambient Light: 5109.00000  Lux: 4112.00000 Infrared Light: 29961.00000Visible Light: 1963532024.00000 Full Spectrum (IR + vis): 1963561985.00000 CO2: 1.07003    UVB: 0.09000   O3 Gas: 0.68802    O3 Reference: 1.62005    O3 Temperature: 1.15404    
Time: 12.46546   Pressure: 986.00000  Temperature: 11.37000    Humidity: 58.73923  UV: 11.00000    UVI: 0.45913     Ambient Light: 5147.00000  Lux: 4096.00000 Infrared Light: 30050.00000Visible Light: 1969364639.00000 Full Spectrum (IR + vis): 1969394689.00000 CO2: 1.06803    UVB: 0.09000   O3 Gas: 0.62802    O3 Reference: 1.62005    O3 Temperature: 1.14203    
Time: 13.25353   Pressure: 986.02000  Temperature: 11.39000    Humidity: 58.70108  UV: 13.00000    UVI: 0.58435     Ambient Light: 7279.00000  Lux: 7156.80000 Infrared Light: 31808.00000Visible Light: 2084575169.00000 Full Spectrum (IR + vis): 2084606977.00000 CO2: 1.06603    UVB: 0.09200   O3 Gas: 0.64202    O3 Reference: 1.62405    O3 Temperature: 1.14003    
Time: 14.03979   Pressure: 985.91000  Temperature: 11.39000    Humidity: 59.06729  UV: 23.00000    UVI: 1.00174     Ambient Light: 13089.00000  Lux: 10652.80000 Infrared Light: 37888.00000Visible Light: 2483027969.00000 Full Spectrum (IR + vis): 2483065857.00000 CO2: 1.06603    UVB: 0.09800   O3 Gas: 0.70402    O3 Reference: 1.62605    O3 Temperature: 1.15404    
Time: 14.82580   Pressure: 985.95000  Temperature: 11.41000    Humidity: 59.23514  UV: 26.00000    UVI: 1.08522     Ambient Light: 15212.00000  Lux: 12255.20000 Infrared Light: 37889.00000Visible Light: 2483093504.00000 Full Spectrum (IR + vis): 2483131393.00000 CO2: 1.06403    UVB: 0.10200   O3 Gas: 0.73602    O3 Reference: 1.62805    O3 Temperature: 1.14804    
Time: 15.61307   Pressure: 985.99000  Temperature: 11.42000    Humidity: 59.50217  UV: 27.00000    UVI: 1.12696     Ambient Light: 15679.00000  Lux: 12552.80000 Infrared Light: 37889.00000Visible Light: 2483093504.00000 Full Spectrum (IR + vis): 2483131393.00000 CO2: 1.06203    UVB: 0.10200   O3 Gas: 0.67602    O3 Reference: 1.62205    O3 Temperature: 1.15204    
Time: 16.39314   Pressure: 985.92000  Temperature: 11.44000    Humidity: 59.91415  UV: 29.00000    UVI: 1.21043     Ambient Light: 15742.00000  Lux: 12624.80000 Infrared Light: 37889.00000Visible Light: 2483093504.00000 Full Spectrum (IR + vis): 2483131393.00000 CO2: 1.06203    UVB: 0.10000   O3 Gas: 0.69402    O3 Reference: 1.61805    O3 Temperature: 1.14804    
Time: 17.17272   Pressure: 985.94000  Temperature: 11.46000    Humidity: 60.28799  UV: 29.00000    UVI: 1.21043     Ambient Light: 15827.00000  Lux: 12665.60000 Infrared Light: 37889.00000Visible Light: 2483093504.00000 Full Spectrum (IR + vis): 2483131393.00000 CO2: 1.06003    UVB: 0.10200   O3 Gas: 0.67402    O3 Reference: 1.62405    O3 Temperature: 1.15804    
Time: 17.95395   Pressure: 985.96000  Temperature: 11.46000    Humidity: 60.47110  UV: 27.00000    UVI: 1.12696     Ambient Light: 15806.00000  Lux: 12657.60000 Infrared Light: 37889.00000Visible Light: 2483093504.00000 Full Spectrum (IR + vis): 2483131393.00000 CO2: 1.06003    UVB: 0.10000   O3 Gas: 0.67602    O3 Reference: 1.62605    O3 Temperature: 1.14603    
